id,dcb,rcl,juros,amortizacao,primario,dbp,rec_cor,desp_cor,investimentos,desp_total,rec_previdenciarias,inativos,rec_tributaria,obrig_fin,disp_caixa_bruta
mt2016,6784889079.9,12522756874.44,380318323.16,609313751.22,378111232.47,8219503740.55,20967899768.71,15223282460.95,1191002515.19,17024984160.26,2393023566.75,2409531586.9900002,12507914869.21,1092044629.41,2066457567.33
pa2008,2790957521.1,7587651045.32,129913803.01,215211556.15,442060094.46,3829483238.54,10168125598.099998,8089407894.24,919115328.55,9381403404.9,581228759.22,1048590718.64,4683925811.29,591596004.84,984018720.22
pa2009,2751523097.74,7997163111.89,142346146.95,256941794.23,86178451.63,4256947886.52,10841893011.32,8930908240.17,827321861.65,10210618410.09,657663984.06,1140919974.16,5018175912.25,451519536.49,976309166.09
pa2010,3310328747.88,9117949794.94,171069827.98999998,279411650.9,-195055429.399999,4805216642.49,12338475253.03,10158797999.279999,1332710235.15,11956529183.599998,751075039.59,1268554540.48,5725828623.1,234680106.88,1594187846.62
pa2011,3146025655.54,10426349999.11,205221561.43,333465149.03,989115266.02,5502198515.03,14087978738.010002,11167083743.720001,552381918.3100001,12238315419.660002,829150855.15,1446005281.38,6368304435.03,377879268.05,2508875986.61
pa2012,2923896075.04,12722720110.21,199131778.89999998,376860610.76,1115367787.08,6849501770.64,17068566227.359999,13426470317.740002,923636005.1299999,14909531343.490002,996742611.95,1866111463.3,7890956281.699999,532325616.59,3751856730.27
pa2013,3145070980.69,13336642643.44,173147076.61,419991529.98,513574613.8,7476296672.83,18196166056.87,14820066510.98,1202409352.45,16616549242.41,1130715445.78,2121965546.31,9220095189.27,299284963.58,3839336038.47
pa2014,3562717666.93,15092463544.31,194679053.34,334291391.02,514905733.72,8392574623.67,20790147756.96,16686748559.06,1489567929.75,18698982751.49,1379925364.22,2419796625.34,10597214448.7,338646470.6,4903858237.24
pa2015,3777692184.97,16789901790.47,227753076.22,402341579.2,386981635.64,9612375517.48,22805710111.19,18836417336.51,1359924415.43,20790876876.11,1432124480.42,2785451096.21,11714182196.63,266598333.20000002,5224751429.11
pa2016,3388279401.71,17922201695.92,169579781.45,387309261.97,647603783.3,9999243503.18,24149828976.3,19983000733,939390859,21485201833.31,1564916633.81,2944506019.77,12279303378.18,549530467.2,6600751033.04
